,Actual Load,country_code
2022-06-01 00:00:00+02:00,2007.0,DK_1
2022-06-01 01:00:00+02:00,1936.0,DK_1
2022-06-01 02:00:00+02:00,1936.0,DK_1
2022-06-01 03:00:00+02:00,1929.0,DK_1
2022-06-01 04:00:00+02:00,1940.0,DK_1
2022-06-01 05:00:00+02:00,2025.0,DK_1
2022-06-01 06:00:00+02:00,2327.0,DK_1
2022-06-01 07:00:00+02:00,2695.0,DK_1
2022-06-01 08:00:00+02:00,2850.0,DK_1
2022-06-01 09:00:00+02:00,2681.0,DK_1
2022-06-01 10:00:00+02:00,2899.0,DK_1
2022-06-01 11:00:00+02:00,3157.0,DK_1
2022-06-01 12:00:00+02:00,3099.0,DK_1
2022-06-01 13:00:00+02:00,3154.0,DK_1
2022-06-01 14:00:00+02:00,3193.0,DK_1
2022-06-01 15:00:00+02:00,3041.0,DK_1
2022-06-01 16:00:00+02:00,2933.0,DK_1
2022-06-01 17:00:00+02:00,2946.0,DK_1
2022-06-01 18:00:00+02:00,2827.0,DK_1
2022-06-01 19:00:00+02:00,2620.0,DK_1
2022-06-01 20:00:00+02:00,2489.0,DK_1
2022-06-01 21:00:00+02:00,2348.0,DK_1
2022-06-01 22:00:00+02:00,2278.0,DK_1
2022-06-01 23:00:00+02:00,2166.0,DK_1
2022-06-02 00:00:00+02:00,2081.0,DK_1
2022-06-02 01:00:00+02:00,2012.0,DK_1
2022-06-02 02:00:00+02:00,1975.0,DK_1
2022-06-02 03:00:00+02:00,1941.0,DK_1
2022-06-02 04:00:00+02:00,1981.0,DK_1
2022-06-02 05:00:00+02:00,2088.0,DK_1
2022-06-02 06:00:00+02:00,2401.0,DK_1
2022-06-02 07:00:00+02:00,2812.0,DK_1
2022-06-02 08:00:00+02:00,2951.0,DK_1
2022-06-02 09:00:00+02:00,2998.0,DK_1
2022-06-02 10:00:00+02:00,3115.0,DK_1
2022-06-02 11:00:00+02:00,3103.0,DK_1
2022-06-02 12:00:00+02:00,3035.0,DK_1
2022-06-02 13:00:00+02:00,3091.0,DK_1
2022-06-02 14:00:00+02:00,3022.0,DK_1
2022-06-02 15:00:00+02:00,2962.0,DK_1
2022-06-02 16:00:00+02:00,2941.0,DK_1
2022-06-02 17:00:00+02:00,3019.0,DK_1
2022-06-02 18:00:00+02:00,2930.0,DK_1
2022-06-02 19:00:00+02:00,2760.0,DK_1
2022-06-02 20:00:00+02:00,2574.0,DK_1
2022-06-02 21:00:00+02:00,2401.0,DK_1
2022-06-02 22:00:00+02:00,2385.0,DK_1
2022-06-02 23:00:00+02:00,2245.0,DK_1
2022-06-03 00:00:00+02:00,2120.0,DK_1
2022-06-03 01:00:00+02:00,2048.0,DK_1
2022-06-03 02:00:00+02:00,2030.0,DK_1
2022-06-03 03:00:00+02:00,2013.0,DK_1
2022-06-03 04:00:00+02:00,2015.0,DK_1
2022-06-03 05:00:00+02:00,2103.0,DK_1
2022-06-03 06:00:00+02:00,2381.0,DK_1
2022-06-03 07:00:00+02:00,2738.0,DK_1
2022-06-03 08:00:00+02:00,2877.0,DK_1
2022-06-03 09:00:00+02:00,2981.0,DK_1
2022-06-03 10:00:00+02:00,3142.0,DK_1
2022-06-03 11:00:00+02:00,3168.0,DK_1
2022-06-03 12:00:00+02:00,3076.0,DK_1
2022-06-03 13:00:00+02:00,2983.0,DK_1
2022-06-03 14:00:00+02:00,2853.0,DK_1
2022-06-03 15:00:00+02:00,2784.0,DK_1
2022-06-03 16:00:00+02:00,2742.0,DK_1
2022-06-03 17:00:00+02:00,2762.0,DK_1
2022-06-03 18:00:00+02:00,2690.0,DK_1
2022-06-03 19:00:00+02:00,2459.0,DK_1
2022-06-03 20:00:00+02:00,2306.0,DK_1
2022-06-03 21:00:00+02:00,2193.0,DK_1
2022-06-03 22:00:00+02:00,2152.0,DK_1
2022-06-03 23:00:00+02:00,2079.0,DK_1
2022-06-04 00:00:00+02:00,1852.0,DK_1
2022-06-04 01:00:00+02:00,1842.0,DK_1
2022-06-04 02:00:00+02:00,1712.0,DK_1
2022-06-04 03:00:00+02:00,1732.0,DK_1
