,Forecasted Load,Actual Load,country_code
2022-06-01 00:00:00+02:00,2053.0,2007.0,DK_1
2022-06-01 01:00:00+02:00,1944.0,1936.0,DK_1
2022-06-01 02:00:00+02:00,1925.0,1936.0,DK_1
2022-06-01 03:00:00+02:00,1943.0,1929.0,DK_1
2022-06-01 04:00:00+02:00,1945.0,1940.0,DK_1
2022-06-01 05:00:00+02:00,2018.0,2025.0,DK_1
2022-06-01 06:00:00+02:00,2301.0,2327.0,DK_1
2022-06-01 07:00:00+02:00,2603.0,2695.0,DK_1
2022-06-01 08:00:00+02:00,2843.0,2850.0,DK_1
2022-06-01 09:00:00+02:00,2786.0,2681.0,DK_1
2022-06-01 10:00:00+02:00,2770.0,2899.0,DK_1
2022-06-01 11:00:00+02:00,3027.0,3157.0,DK_1
2022-06-01 12:00:00+02:00,3075.0,3099.0,DK_1
2022-06-01 13:00:00+02:00,3081.0,3154.0,DK_1
2022-06-01 14:00:00+02:00,3113.0,3193.0,DK_1
2022-06-01 15:00:00+02:00,3057.0,3041.0,DK_1
2022-06-01 16:00:00+02:00,2944.0,2933.0,DK_1
2022-06-01 17:00:00+02:00,2965.0,2946.0,DK_1
2022-06-01 18:00:00+02:00,2849.0,2827.0,DK_1
2022-06-01 19:00:00+02:00,2591.0,2620.0,DK_1
2022-06-01 20:00:00+02:00,2492.0,2489.0,DK_1
2022-06-01 21:00:00+02:00,2439.0,2348.0,DK_1
2022-06-01 22:00:00+02:00,2363.0,2278.0,DK_1
2022-06-01 23:00:00+02:00,2250.0,2166.0,DK_1
2022-06-02 00:00:00+02:00,2056.0,2081.0,DK_1
2022-06-02 01:00:00+02:00,1980.0,2012.0,DK_1
2022-06-02 02:00:00+02:00,1965.0,1975.0,DK_1
2022-06-02 03:00:00+02:00,1960.0,1941.0,DK_1
2022-06-02 04:00:00+02:00,1953.0,1981.0,DK_1
2022-06-02 05:00:00+02:00,2084.0,2088.0,DK_1
2022-06-02 06:00:00+02:00,2367.0,2401.0,DK_1
2022-06-02 07:00:00+02:00,2675.0,2812.0,DK_1
2022-06-02 08:00:00+02:00,2901.0,2951.0,DK_1
2022-06-02 09:00:00+02:00,2940.0,2998.0,DK_1
2022-06-02 10:00:00+02:00,3040.0,3115.0,DK_1
2022-06-02 11:00:00+02:00,3059.0,3103.0,DK_1
2022-06-02 12:00:00+02:00,3060.0,3035.0,DK_1
2022-06-02 13:00:00+02:00,3081.0,3091.0,DK_1
2022-06-02 14:00:00+02:00,3009.0,3022.0,DK_1
2022-06-02 15:00:00+02:00,2944.0,2962.0,DK_1
2022-06-02 16:00:00+02:00,2914.0,2941.0,DK_1
2022-06-02 17:00:00+02:00,3008.0,3019.0,DK_1
2022-06-02 18:00:00+02:00,2953.0,2930.0,DK_1
2022-06-02 19:00:00+02:00,2812.0,2760.0,DK_1
2022-06-02 20:00:00+02:00,2660.0,2574.0,DK_1
2022-06-02 21:00:00+02:00,2515.0,2401.0,DK_1
2022-06-02 22:00:00+02:00,2478.0,2385.0,DK_1
2022-06-02 23:00:00+02:00,2370.0,2245.0,DK_1
2022-06-03 00:00:00+02:00,2102.0,2120.0,DK_1
2022-06-03 01:00:00+02:00,1988.0,2048.0,DK_1
2022-06-03 02:00:00+02:00,1988.0,2030.0,DK_1
2022-06-03 03:00:00+02:00,2014.0,2013.0,DK_1
2022-06-03 04:00:00+02:00,2028.0,2015.0,DK_1
2022-06-03 05:00:00+02:00,2103.0,2103.0,DK_1
2022-06-03 06:00:00+02:00,2358.0,2381.0,DK_1
2022-06-03 07:00:00+02:00,2769.0,2738.0,DK_1
2022-06-03 08:00:00+02:00,2906.0,2877.0,DK_1
2022-06-03 09:00:00+02:00,2954.0,2981.0,DK_1
2022-06-03 10:00:00+02:00,3109.0,3142.0,DK_1
2022-06-03 11:00:00+02:00,3149.0,3168.0,DK_1
2022-06-03 12:00:00+02:00,3098.0,3076.0,DK_1
2022-06-03 13:00:00+02:00,3014.0,2983.0,DK_1
2022-06-03 14:00:00+02:00,2836.0,2853.0,DK_1
2022-06-03 15:00:00+02:00,2779.0,2784.0,DK_1
2022-06-03 16:00:00+02:00,2726.0,2742.0,DK_1
2022-06-03 17:00:00+02:00,2803.0,2762.0,DK_1
2022-06-03 18:00:00+02:00,2729.0,2690.0,DK_1
2022-06-03 19:00:00+02:00,2538.0,2459.0,DK_1
2022-06-03 20:00:00+02:00,2349.0,2306.0,DK_1
2022-06-03 21:00:00+02:00,2303.0,2193.0,DK_1
2022-06-03 22:00:00+02:00,2191.0,2152.0,DK_1
2022-06-03 23:00:00+02:00,2050.0,2079.0,DK_1
2022-06-04 00:00:00+02:00,2009.0,1852.0,DK_1
2022-06-04 01:00:00+02:00,1788.0,1842.0,DK_1
2022-06-04 02:00:00+02:00,1721.0,1712.0,DK_1
2022-06-04 03:00:00+02:00,1720.0,1732.0,DK_1
2022-06-04 04:00:00+02:00,1699.0,1749.0,DK_1
2022-06-04 05:00:00+02:00,1728.0,1746.0,DK_1
2022-06-04 06:00:00+02:00,1815.0,1846.0,DK_1
