,Forecasted Load,country_code
2022-06-01 00:00:00+02:00,2053.0,DK_1
2022-06-01 01:00:00+02:00,1944.0,DK_1
2022-06-01 02:00:00+02:00,1925.0,DK_1
2022-06-01 03:00:00+02:00,1943.0,DK_1
2022-06-01 04:00:00+02:00,1945.0,DK_1
2022-06-01 05:00:00+02:00,2018.0,DK_1
2022-06-01 06:00:00+02:00,2301.0,DK_1
2022-06-01 07:00:00+02:00,2603.0,DK_1
2022-06-01 08:00:00+02:00,2843.0,DK_1
2022-06-01 09:00:00+02:00,2786.0,DK_1
2022-06-01 10:00:00+02:00,2770.0,DK_1
2022-06-01 11:00:00+02:00,3027.0,DK_1
2022-06-01 12:00:00+02:00,3075.0,DK_1
2022-06-01 13:00:00+02:00,3081.0,DK_1
2022-06-01 14:00:00+02:00,3113.0,DK_1
2022-06-01 15:00:00+02:00,3057.0,DK_1
2022-06-01 16:00:00+02:00,2944.0,DK_1
2022-06-01 17:00:00+02:00,2965.0,DK_1
2022-06-01 18:00:00+02:00,2849.0,DK_1
2022-06-01 19:00:00+02:00,2591.0,DK_1
2022-06-01 20:00:00+02:00,2492.0,DK_1
2022-06-01 21:00:00+02:00,2439.0,DK_1
2022-06-01 22:00:00+02:00,2363.0,DK_1
2022-06-01 23:00:00+02:00,2250.0,DK_1
2022-06-02 00:00:00+02:00,2056.0,DK_1
2022-06-02 01:00:00+02:00,1980.0,DK_1
2022-06-02 02:00:00+02:00,1965.0,DK_1
2022-06-02 03:00:00+02:00,1960.0,DK_1
2022-06-02 04:00:00+02:00,1953.0,DK_1
2022-06-02 05:00:00+02:00,2084.0,DK_1
2022-06-02 06:00:00+02:00,2367.0,DK_1
2022-06-02 07:00:00+02:00,2675.0,DK_1
2022-06-02 08:00:00+02:00,2901.0,DK_1
2022-06-02 09:00:00+02:00,2940.0,DK_1
2022-06-02 10:00:00+02:00,3040.0,DK_1
2022-06-02 11:00:00+02:00,3059.0,DK_1
2022-06-02 12:00:00+02:00,3060.0,DK_1
2022-06-02 13:00:00+02:00,3081.0,DK_1
2022-06-02 14:00:00+02:00,3009.0,DK_1
2022-06-02 15:00:00+02:00,2944.0,DK_1
2022-06-02 16:00:00+02:00,2914.0,DK_1
2022-06-02 17:00:00+02:00,3008.0,DK_1
2022-06-02 18:00:00+02:00,2953.0,DK_1
2022-06-02 19:00:00+02:00,2812.0,DK_1
2022-06-02 20:00:00+02:00,2660.0,DK_1
2022-06-02 21:00:00+02:00,2515.0,DK_1
2022-06-02 22:00:00+02:00,2478.0,DK_1
2022-06-02 23:00:00+02:00,2370.0,DK_1
2022-06-03 00:00:00+02:00,2102.0,DK_1
2022-06-03 01:00:00+02:00,1988.0,DK_1
2022-06-03 02:00:00+02:00,1988.0,DK_1
2022-06-03 03:00:00+02:00,2014.0,DK_1
2022-06-03 04:00:00+02:00,2028.0,DK_1
2022-06-03 05:00:00+02:00,2103.0,DK_1
2022-06-03 06:00:00+02:00,2358.0,DK_1
2022-06-03 07:00:00+02:00,2769.0,DK_1
2022-06-03 08:00:00+02:00,2906.0,DK_1
2022-06-03 09:00:00+02:00,2954.0,DK_1
2022-06-03 10:00:00+02:00,3109.0,DK_1
2022-06-03 11:00:00+02:00,3149.0,DK_1
2022-06-03 12:00:00+02:00,3098.0,DK_1
2022-06-03 13:00:00+02:00,3014.0,DK_1
2022-06-03 14:00:00+02:00,2836.0,DK_1
2022-06-03 15:00:00+02:00,2779.0,DK_1
2022-06-03 16:00:00+02:00,2726.0,DK_1
2022-06-03 17:00:00+02:00,2803.0,DK_1
2022-06-03 18:00:00+02:00,2729.0,DK_1
2022-06-03 19:00:00+02:00,2538.0,DK_1
2022-06-03 20:00:00+02:00,2349.0,DK_1
2022-06-03 21:00:00+02:00,2303.0,DK_1
2022-06-03 22:00:00+02:00,2191.0,DK_1
2022-06-03 23:00:00+02:00,2050.0,DK_1
2022-06-04 00:00:00+02:00,2009.0,DK_1
2022-06-04 01:00:00+02:00,1788.0,DK_1
2022-06-04 02:00:00+02:00,1721.0,DK_1
2022-06-04 03:00:00+02:00,1720.0,DK_1
2022-06-04 04:00:00+02:00,1699.0,DK_1
2022-06-04 05:00:00+02:00,1728.0,DK_1
2022-06-04 06:00:00+02:00,1815.0,DK_1
2022-06-04 07:00:00+02:00,1989.0,DK_1
2022-06-04 08:00:00+02:00,2212.0,DK_1
2022-06-04 09:00:00+02:00,2377.0,DK_1
2022-06-04 10:00:00+02:00,2454.0,DK_1
2022-06-04 11:00:00+02:00,2530.0,DK_1
2022-06-04 12:00:00+02:00,2614.0,DK_1
2022-06-04 13:00:00+02:00,2617.0,DK_1
2022-06-04 14:00:00+02:00,2646.0,DK_1
2022-06-04 15:00:00+02:00,2593.0,DK_1
2022-06-04 16:00:00+02:00,2567.0,DK_1
2022-06-04 17:00:00+02:00,2641.0,DK_1
2022-06-04 18:00:00+02:00,2489.0,DK_1
2022-06-04 19:00:00+02:00,2287.0,DK_1
2022-06-04 20:00:00+02:00,2112.0,DK_1
2022-06-04 21:00:00+02:00,2004.0,DK_1
2022-06-04 22:00:00+02:00,1964.0,DK_1
2022-06-04 23:00:00+02:00,1900.0,DK_1
2022-06-05 00:00:00+02:00,1822.0,DK_1
2022-06-05 01:00:00+02:00,1739.0,DK_1
2022-06-05 02:00:00+02:00,1697.0,DK_1
2022-06-05 03:00:00+02:00,1681.0,DK_1
2022-06-05 04:00:00+02:00,1701.0,DK_1
2022-06-05 05:00:00+02:00,1688.0,DK_1
2022-06-05 06:00:00+02:00,1721.0,DK_1
2022-06-05 07:00:00+02:00,1864.0,DK_1
2022-06-05 08:00:00+02:00,2094.0,DK_1
2022-06-05 09:00:00+02:00,2230.0,DK_1
2022-06-05 10:00:00+02:00,2372.0,DK_1
2022-06-05 11:00:00+02:00,2459.0,DK_1
2022-06-05 12:00:00+02:00,2481.0,DK_1
2022-06-05 13:00:00+02:00,2482.0,DK_1
2022-06-05 14:00:00+02:00,2490.0,DK_1
2022-06-05 15:00:00+02:00,2465.0,DK_1
2022-06-05 16:00:00+02:00,2436.0,DK_1
2022-06-05 17:00:00+02:00,2464.0,DK_1
2022-06-05 18:00:00+02:00,2375.0,DK_1
2022-06-05 19:00:00+02:00,2208.0,DK_1
