,Solar,Wind Offshore,Wind Onshore,country_code
2022-06-01 00:00:00+02:00,8.0,34.0,132.0,DK_1
2022-06-01 01:00:00+02:00,0.0,26.0,149.0,DK_1
2022-06-01 02:00:00+02:00,0.0,19.0,168.0,DK_1
2022-06-01 03:00:00+02:00,0.0,19.0,200.0,DK_1
2022-06-01 04:00:00+02:00,1.0,25.0,225.0,DK_1
2022-06-01 05:00:00+02:00,25.0,28.0,238.0,DK_1
2022-06-01 06:00:00+02:00,114.0,27.0,220.0,DK_1
2022-06-01 07:00:00+02:00,280.0,29.0,214.0,DK_1
2022-06-01 08:00:00+02:00,495.0,27.0,240.0,DK_1
2022-06-01 09:00:00+02:00,732.0,25.0,273.0,DK_1
2022-06-01 10:00:00+02:00,931.0,25.0,340.0,DK_1
2022-06-01 11:00:00+02:00,1018.0,26.0,449.0,DK_1
2022-06-01 12:00:00+02:00,1035.0,45.0,573.0,DK_1
2022-06-01 13:00:00+02:00,1051.0,70.0,716.0,DK_1
2022-06-01 14:00:00+02:00,989.0,110.0,856.0,DK_1
2022-06-01 15:00:00+02:00,909.0,158.0,982.0,DK_1
2022-06-01 16:00:00+02:00,807.0,197.0,1032.0,DK_1
2022-06-01 17:00:00+02:00,664.0,218.0,1048.0,DK_1
2022-06-01 18:00:00+02:00,474.0,232.0,1026.0,DK_1
2022-06-01 19:00:00+02:00,260.0,255.0,963.0,DK_1
2022-06-01 20:00:00+02:00,87.0,315.0,846.0,DK_1
2022-06-01 21:00:00+02:00,13.0,369.0,752.0,DK_1
2022-06-01 22:00:00+02:00,0.0,439.0,791.0,DK_1
2022-06-01 23:00:00+02:00,0.0,501.0,877.0,DK_1
2022-06-02 00:00:00+02:00,0.0,666.0,802.0,DK_1
2022-06-02 01:00:00+02:00,0.0,719.0,854.0,DK_1
2022-06-02 02:00:00+02:00,0.0,742.0,852.0,DK_1
2022-06-02 03:00:00+02:00,0.0,711.0,920.0,DK_1
2022-06-02 04:00:00+02:00,0.0,685.0,946.0,DK_1
2022-06-02 05:00:00+02:00,15.0,710.0,986.0,DK_1
2022-06-02 06:00:00+02:00,50.0,756.0,1038.0,DK_1
2022-06-02 07:00:00+02:00,90.0,808.0,1106.0,DK_1
2022-06-02 08:00:00+02:00,122.0,765.0,1306.0,DK_1
2022-06-02 09:00:00+02:00,157.0,746.0,1523.0,DK_1
2022-06-02 10:00:00+02:00,220.0,745.0,1768.0,DK_1
2022-06-02 11:00:00+02:00,352.0,781.0,1845.0,DK_1
2022-06-02 12:00:00+02:00,441.0,780.0,1919.0,DK_1
2022-06-02 13:00:00+02:00,458.0,759.0,2041.0,DK_1
2022-06-02 14:00:00+02:00,490.0,730.0,2134.0,DK_1
2022-06-02 15:00:00+02:00,517.0,737.0,2163.0,DK_1
2022-06-02 16:00:00+02:00,483.0,768.0,2111.0,DK_1
2022-06-02 17:00:00+02:00,417.0,779.0,2090.0,DK_1
2022-06-02 18:00:00+02:00,268.0,722.0,2044.0,DK_1
2022-06-02 19:00:00+02:00,143.0,728.0,1949.0,DK_1
2022-06-02 20:00:00+02:00,50.0,743.0,1767.0,DK_1
2022-06-02 21:00:00+02:00,9.0,709.0,1635.0,DK_1
2022-06-02 22:00:00+02:00,0.0,710.0,1639.0,DK_1
2022-06-02 23:00:00+02:00,0.0,683.0,1652.0,DK_1
2022-06-03 00:00:00+02:00,0.0,640.0,1437.0,DK_1
2022-06-03 01:00:00+02:00,0.0,619.0,1456.0,DK_1
2022-06-03 02:00:00+02:00,0.0,596.0,1406.0,DK_1
2022-06-03 03:00:00+02:00,0.0,595.0,1394.0,DK_1
2022-06-03 04:00:00+02:00,1.0,580.0,1380.0,DK_1
2022-06-03 05:00:00+02:00,25.0,545.0,1341.0,DK_1
2022-06-03 06:00:00+02:00,90.0,499.0,1230.0,DK_1
2022-06-03 07:00:00+02:00,222.0,450.0,1101.0,DK_1
2022-06-03 08:00:00+02:00,407.0,409.0,1137.0,DK_1
2022-06-03 09:00:00+02:00,599.0,371.0,1165.0,DK_1
2022-06-03 10:00:00+02:00,773.0,323.0,1213.0,DK_1
2022-06-03 11:00:00+02:00,920.0,267.0,1203.0,DK_1
